15165036 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=5 rfps=44 aclk=1.96 vclk=857.70
15166063 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=0 rfps=40 aclk=1.96 vclk=857.70
15166461 screen-change  screen=16 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=0 rfps=40 aclk=1.96 vclk=857.70
15167526 screen-change  screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=0 rfps=38 aclk=1.96 vclk=857.70
15167555 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=0 rfps=38 aclk=1.96 vclk=857.70
15168581 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=48 pub=48 decf=796 vpkt=882 gate=1 dfps=0 rfps=36 aclk=2.09 vclk=857.74
15169607 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=74 pub=74 decf=822 vpkt=908 gate=1 dfps=7 rfps=44 aclk=3.11 vclk=858.78
15170633 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=101 pub=101 decf=849 vpkt=935 gate=1 dfps=26 rfps=40 aclk=4.14 vclk=859.90
15171658 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=126 pub=126 decf=874 vpkt=960 gate=1 dfps=25 rfps=40 aclk=5.16 vclk=860.90
15172663 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=151 pub=151 decf=899 vpkt=985 gate=1 dfps=25 rfps=46 aclk=6.19 vclk=861.90
